OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,GEOID10,CT10,LABEL,Shape_STAr,Shape_STLe,GEOID_INT,GEO_id,GEO_id2,GEO_displa,TOTAL_POP,WHITE,BLACK,AMER_IND,ASIAN,PAC_ISLND,OTHER,TWO_MORE,MEANINCOME,LESS_HS,HS_GRAD,SOME_COLGE,BA_HIGHER,YEAR,AlcoholRel,Arson,Assault,Burglaries,FederalOff,FelonMisc,Fraud,Gambling,GrandTheft,Homicide,MentallyIl,Narcotics,Robberies,SexOffense,Suicide,Vagrancy,Vandalism,VehicBoatL,Shape_Leng,WeaponLaws,AllCrimes,X,Y
1,149,0,1,6037911001,911001,9110.01,4025735684,353933.8082,6037911001,1400000US06037911001,6037911001,"Census Tract 9110.01, Los Angeles County, California",4077,2798,89,0,0,1,964,225,82002,30,73,62,0,2016,5,2,20,21,1,0,8,0,10,1,12,19,22,1,3,0,15,4,353933.8082,5,149,-117.805088,34.4848504
2,1,1,2,6037980003,980003,9800.03,2078689856,273188.8632,6037980003,1400000US06037980003,6037980003,"Census Tract 9800.03, Los Angeles County, California",0,0,0,0,0,0,0,0,0,0,12,0,0,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273188.8632,0,1,-117.9546031,34.79578608
3,52,2,3,6037930301,930301,9303.01,11118018325,628603.5313,6037930301,1400000US06037930301,6037930301,"Census Tract 9303.01, Los Angeles County, California",788,585,83,4,5,0,69,42,85892,47,59,36,0,2016,1,0,5,2,0,0,0,0,0,0,0,0,10,1,2,0,0,31,628603.5313,0,52,-117.8630746,34.3014694
152,55,151,152,6037910813,910813,9108.13,888220445.9,167257.6926,6037910813,1400000US06037910813,6037910813,"Census Tract 9108.13, Los Angeles County, California",3719,3200,6,0,68,0,75,370,111377,40,21,166,49,2016,3,1,7,5,0,1,10,0,2,0,2,2,14,0,4,0,3,1,167257.6926,0,55,-118.3070738,34.51454924
153,155,152,153,6037910716,910716,9107.16,26553741.43,24707.14437,6037910716,1400000US06037910716,6037910716,"Census Tract 9107.16, Los Angeles County, California",5865,2939,850,9,241,0,1405,421,79089,128,96,283,7,2016,2,0,33,17,1,2,20,0,14,0,11,4,14,1,1,0,15,17,24707.14437,3,155,-118.0743936,34.54644331
154,211,153,154,6037910715,910715,9107.15,21389726.42,21469.71025,6037910715,1400000US06037910715,6037910715,"Census Tract 9107.15, Los Angeles County, California",6430,2214,1124,198,77,0,2557,260,58721,114,93,425,32,2016,9,1,29,20,0,4,11,0,14,0,9,11,52,5,1,0,23,16,21469.71025,6,211,-118.0697602,34.55415057
155,160,154,155,6037910714,910714,9107.14,10804986.97,13480.66141,6037910714,1400000US06037910714,6037910714,"Census Tract 9107.14, Los Angeles County, California",3995,1384,296,0,95,0,2110,110,59865,63,75,232,0,2016,11,1,23,11,0,2,7,0,10,0,8,13,33,3,3,1,17,12,13480.66141,5,160,-118.0384178,34.5616822
156,439,155,156,6037910711,910711,9107.11,38901485.28,29150.33664,6037910711,1400000US06037910711,6037910711,"Census Tract 9107.11, Los Angeles County, California",8294,3299,803,104,432,0,3056,600,62578,299,142,464,33,2016,19,1,59,19,2,2,22,1,30,0,8,23,119,4,2,0,38,78,29150.33664,12,439,-118.0537496,34.57045166
157,99,156,157,6037910606,910606,9106.06,14695432.82,16244.41359,6037910606,1400000US06037910606,6037910606,"Census Tract 9106.06, Los Angeles County, California",3362,1161,471,57,159,4,1404,106,55653,61,77,114,8,2016,4,0,13,12,0,0,4,0,6,1,4,7,9,1,2,0,15,19,16244.41359,2,99,-118.0672825,34.56185423
158,145,157,158,6037910605,910605,9106.05,14529019.18,16156.21966,6037910605,1400000US06037910605,6037910605,"Census Tract 9106.05, Los Angeles County, California",4958,1767,582,8,186,0,2183,232,54153,80,75,348,0,2016,6,1,26,19,0,5,5,0,14,1,9,11,18,3,1,0,14,10,16156.21966,2,145,-118.0671807,34.56930067
159,91,158,159,6037910505,910505,9105.05,17419272.88,23274.57792,6037910505,1400000US06037910505,6037910505,"Census Tract 9105.05, Los Angeles County, California",3076,1091,154,14,37,0,1630,150,69436,87,63,173,7,2016,7,1,13,8,0,1,7,0,6,0,3,6,10,3,0,0,7,16,23274.57792,3,91,-118.1047698,34.56176653
160,203,159,160,6037910504,910504,9105.04,17106038.43,18972.54319,6037910504,1400000US06037910504,6037910504,"Census Tract 9105.04, Los Angeles County, California",4799,1557,433,14,75,0,2669,51,45494,212,196,150,0,2016,7,0,35,28,0,2,12,0,18,0,10,17,16,6,3,0,25,17,18972.54319,7,203,-118.1046156,34.5690717
161,190,160,161,6037901011,901011,9010.11,28755361.8,21431.50264,6037901011,1400000US06037901011,6037901011,"Census Tract 9010.11, Los Angeles County, California",5053,3690,510,21,247,12,243,330,70956,82,56,300,32,2016,14,1,19,15,0,2,27,0,16,0,1,5,34,2,1,0,18,30,21431.50264,5,190,-118.174576,34.6676074
162,232,161,162,6037901010,901010,9010.1,28579437.3,21414.63504,6037901010,1400000US06037901010,6037901010,"Census Tract 9010.10, Los Angeles County, California",5895,3987,1211,96,133,0,293,175,57256,116,109,102,33,2016,12,1,40,19,0,4,13,0,12,0,6,12,34,8,8,0,25,32,21414.63504,6,232,-118.1924523,34.6674911
163,304,162,163,6037901009,901009,9010.09,28565284.6,21393.30906,6037901009,1400000US06037901009,6037901009,"Census Tract 9010.09, Los Angeles County, California",5773,4198,1165,43,151,0,51,165,82068,73,81,199,0,2016,13,1,39,26,3,1,30,0,10,0,12,16,65,4,4,0,18,57,21393.30906,5,304,-118.174669,34.68215478
164,462,163,164,6037900609,900609,9006.09,28624447.96,26808.82887,6037900609,1400000US06037900609,6037900609,"Census Tract 9006.09, Los Angeles County, California",5523,3512,1380,0,146,0,210,275,46533,109,102,218,27,2016,13,1,78,50,3,8,18,0,32,1,4,10,126,3,1,0,53,53,26808.82887,8,462,-118.0993491,34.70425534
