OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,GEOID10,CT10,LABEL,Shape_STAr,Shape_STLe,GEOID_INT,GEO_id,GEO_id2,GEO_displa,TOTAL_POP,WHITE,BLACK,AMER_IND,ASIAN,PAC_ISLND,OTHER,TWO_MORE,MEANINCOME,LESS_HS,HS_GRAD,SOME_COLGE,BA_HIGHER,YEAR,AlcoholRel,Arson,Assault,Burglaries,FederalOff,FelonMisc,Fraud,Gambling,GrandTheft,Homicide,MentallyIl,Narcotics,Robberies,SexOffense,Suicide,Vagrancy,Vandalism,VehicBoatL,Shape_Leng,WeaponLaws,AllCrimes,X,Y
35,0,34,35,6037980006,980006,9800.06,36291903.77,38583.558,6037980006,1400000US06037980006,6037980006,"Census Tract 9800.06, Los Angeles County, California",0,0,0,0,0,0,0,0,0,0,12,0,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38583.55799,0,0,-118.0870897,33.81438832
105,1,104,105,6037573402,573402,5734.02,31883263.82,34508.59841,6037573402,1400000US06037573402,6037573402,"Census Tract 5734.02, Los Angeles County, California",6853,3899,876,21,1343,65,291,358,67061,144,149,643,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34508.59841,0,1,-118.1691551,33.80170331
107,3,106,107,6037573403,573403,5734.03,18212497.95,24162.47975,6037573403,1400000US06037573403,6037573403,"Census Tract 5734.03, Los Angeles County, California",3256,1917,314,0,828,0,75,122,131664,6,53,317,42,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,24162.47975,1,3,-118.1589711,33.79861238
109,0,108,109,6037574202,574202,5742.02,14609057.1,19977.90293,6037574202,1400000US06037574202,6037574202,"Census Tract 5742.02, Los Angeles County, California",2116,1557,114,0,48,8,195,194,76105,10,31,163,14,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19977.90293,0,0,-118.1432272,33.80131475
117,1,116,117,6037573300,573300,5733,8469112.485,13252.39506,6037573300,1400000US06037573300,6037573300,"Census Tract 5733, Los Angeles County, California",4311,1099,545,0,1757,15,522,373,45507,83,130,331,32,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13252.39506,0,1,-118.17572,33.79329594
120,2,119,120,6037573201,573201,5732.01,6477674.959,10362.40929,6037573201,1400000US06037573201,6037573201,"Census Tract 5732.01, Los Angeles County, California",4786,2317,868,144,840,0,411,206,44885,102,80,285,14,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10362.40929,0,2,-118.1853303,33.80062397
146,0,145,146,6037575101,575101,5751.01,4537944.481,10232.99151,6037575101,1400000US06037575101,6037575101,"Census Tract 5751.01, Los Angeles County, California",4465,2650,409,144,972,0,215,75,51638,55,128,378,37,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10232.99151,0,0,-118.1624094,33.78813502
147,2,146,147,6037575001,575001,5750.01,10164664.68,15533.39895,6037575001,1400000US06037575001,6037575001,"Census Tract 5750.01, Los Angeles County, California",3640,2158,339,31,581,11,236,284,73517,82,84,278,37,2016,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,15533.39895,0,2,-118.1471454,33.79470887
652,245,651,652,6037535002,535002,5350.02,5201856.186,9325.696191,6037535002,1400000US06037535002,6037535002,"Census Tract 5350.02, Los Angeles County, California",3534,1745,219,12,8,0,1513,37,49704,69,67,255,10,2016,9,2,47,11,0,6,4,0,34,3,2,19,68,2,0,2,13,17,9325.696191,6,245,-118.2465315,33.97117142
654,183,653,654,6037533001,533001,5330.01,5141723.782,11047.15982,6037533001,1400000US06037533001,6037533001,"Census Tract 5330.01, Los Angeles County, California",4433,1371,69,9,0,0,2862,122,44619,175,109,173,0,2016,5,0,35,7,0,3,3,0,21,1,1,22,46,4,0,2,13,15,11047.15982,5,183,-118.2455622,33.98022707
