OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,GEOID10,CT10,LABEL,Shape_STAr,Shape_STLe,GEOID_INT,GEO_id,GEO_id2,GEO_displa,TOTAL_POP,WHITE,BLACK,AMER_IND,ASIAN,PAC_ISLND,OTHER,TWO_MORE,MEANINCOME,LESS_HS,HS_GRAD,SOME_COLGE,BA_HIGHER,YEAR,AlcoholRel,Arson,Assault,Burglaries,FederalOff,FelonMisc,Fraud,Gambling,GrandTheft,Homicide,MentallyIl,Narcotics,Robberies,SexOffense,Suicide,Vagrancy,Vandalism,VehicBoatL,Shape_Leng,WeaponLaws,AllCrimes,X,Y
660,0,659,660,6037212501,212501,2125.01,856756.8223,3804.129906,6037212501,1400000US06037212501,6037212501,"Census Tract 2125.01, Los Angeles County, California",2149,638,156,17,643,0,670,25,52884,49,30,85,59,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3804.129906,0,0,-118.3053759,34.05607488
664,5,663,664,6037212701,212701,2127.01,5054873.232,10686.75729,6037212701,1400000US06037212701,6037212701,"Census Tract 2127.01, Los Angeles County, California",2528,694,109,15,1312,0,340,58,64845,41,43,92,44,2016,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,10686.75729,1,5,-118.3193261,34.05430856
665,0,664,665,6037208301,208301,2083.01,1000513.02,5183.161158,6037208301,1400000US06037208301,6037208301,"Census Tract 2083.01, Los Angeles County, California",2089,1110,15,51,66,7,809,31,49238,191,52,69,18,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5183.161158,0,0,-118.2658614,34.06198297
666,7,665,666,6037207502,207502,2075.02,4503313.124,9155.677124,6037207502,1400000US06037207502,6037207502,"Census Tract 2075.02, Los Angeles County, California",2610,667,96,0,1655,0,31,161,58139,0,23,8,121,2016,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9155.677124,0,7,-118.2530962,34.0527119
667,70,666,667,6037207301,207301,2073.01,4629401.664,12191.03861,6037207301,1400000US06037207301,6037207301,"Census Tract 2073.01, Los Angeles County, California",4847,2638,765,83,599,0,435,327,68878,0,50,42,25,2016,0,0,23,1,0,1,2,0,1,0,6,11,11,2,0,0,7,2,12191.03861,3,70,-118.2516295,34.04654184
668,17,667,668,6037207102,207102,2071.02,4467442.1,9909.643386,6037207102,1400000US06037207102,6037207102,"Census Tract 2071.02, Los Angeles County, California",2366,255,185,55,1727,0,137,7,32892,11,21,81,10,2016,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,2,8,9909.643386,0,17,-118.2395219,34.05928999
669,13,668,669,6037207101,207101,2071.01,3231109.027,7720.182228,6037207101,1400000US06037207101,6037207101,"Census Tract 2071.01, Los Angeles County, California",3630,788,285,0,2026,0,366,165,45901,51,60,150,164,2016,0,0,2,1,0,0,0,0,0,0,2,2,3,0,0,0,2,0,7720.182228,1,13,-118.2448299,34.06120757
670,0,669,670,6037207501,207501,2075.01,1445854.253,4896.765579,6037207501,1400000US06037207501,6037207501,"Census Tract 2075.01, Los Angeles County, California",2263,992,107,0,788,0,203,173,78865,0,12,63,89,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4896.765579,0,0,-118.2529797,34.05644706
671,4,670,671,6037207302,207302,2073.02,2757265.307,8248.643538,6037207302,1400000US06037207302,6037207302,"Census Tract 2073.02, Los Angeles County, California",4364,2258,662,34,548,0,371,491,62298,28,95,175,64,2016,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,8248.643538,0,4,-118.2477384,34.0475549
672,50,671,672,6037206031,206031,2060.31,50940943.68,37018.08057,6037206031,1400000US06037206031,6037206031,"Census Tract 2060.31, Los Angeles County, California",3381,1581,165,6,1303,15,113,198,104700,0,18,66,102,2016,1,0,6,0,0,0,1,0,4,0,4,4,14,1,0,0,7,7,37018.08057,1,50,-118.2326122,34.03168676
