OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,GEOID10,CT10,LABEL,Shape_STAr,Shape_STLe,GEOID_INT,GEO_id,GEO_id2,GEO_displa,TOTAL_POP,WHITE,BLACK,AMER_IND,ASIAN,PAC_ISLND,OTHER,TWO_MORE,MEANINCOME,LESS_HS,HS_GRAD,SOME_COLGE,BA_HIGHER,YEAR,AlcoholRel,Arson,Assault,Burglaries,FederalOff,FelonMisc,Fraud,Gambling,GrandTheft,Homicide,MentallyIl,Narcotics,Robberies,SexOffense,Suicide,Vagrancy,Vandalism,VehicBoatL,Shape_Leng,WeaponLaws,AllCrimes,X,Y
3,52,2,3,6037930301,930301,9303.01,11118018325,628603.5313,6037930301,1400000US06037930301,6037930301,"Census Tract 9303.01, Los Angeles County, California",788,585,83,4,5,0,69,42,85892,47,59,36,0,2016,1,0,5,2,0,0,0,0,0,0,0,0,10,1,2,0,0,31,628603.5313,0,52,-117.8630746,34.3014694
150,424,149,150,6037920336,920336,9203.36,17842439.67,22023.334,6037920336,1400000US06037920336,6037920336,"Census Tract 9203.36, Los Angeles County, California",6477,4129,112,0,127,0,1743,366,55759,82,130,307,70,2016,25,0,59,32,0,7,15,0,22,0,9,57,57,15,1,0,62,50,22023.334,13,424,-118.5365321,34.38501121
151,83,150,151,6037920044,920044,9200.44,10764345.89,15038.94581,6037920044,1400000US06037920044,6037920044,"Census Tract 9200.44, Los Angeles County, California",2870,2128,27,9,340,0,204,162,115364,20,39,128,7,2016,7,0,9,3,1,1,4,0,3,0,10,6,18,2,1,0,12,5,15038.94581,1,83,-118.5162581,34.44412759
152,55,151,152,6037910813,910813,9108.13,888220445.9,167257.6926,6037910813,1400000US06037910813,6037910813,"Census Tract 9108.13, Los Angeles County, California",3719,3200,6,0,68,0,75,370,111377,40,21,166,49,2016,3,1,7,5,0,1,10,0,2,0,2,2,14,0,4,0,3,1,167257.6926,0,55,-118.3070738,34.51454924
169,0,168,169,6037106406,106406,1064.06,22442804.33,21400.34471,6037106406,1400000US06037106406,6037106406,"Census Tract 1064.06, Los Angeles County, California",5508,3908,193,191,529,0,621,66,84377,33,98,253,37,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21400.34471,0,0,-118.4602001,34.32239109
170,107,169,170,6037920118,920118,9201.18,31851460.67,31144.07168,6037920118,1400000US06037920118,6037920118,"Census Tract 9201.18, Los Angeles County, California",6226,4549,97,0,735,33,400,412,125745,76,76,216,55,2016,3,0,11,11,0,1,10,0,6,0,4,10,35,0,1,0,10,3,31144.07168,2,107,-118.6225739,34.45925844
171,165,170,171,6037920114,920114,9201.14,30488108.73,36628.01541,6037920114,1400000US06037920114,6037920114,"Census Tract 9201.14, Los Angeles County, California",6742,4459,422,0,1079,0,142,640,113746,54,53,203,33,2016,16,0,11,22,1,2,23,0,6,0,5,3,43,2,2,0,13,14,36628.01541,2,165,-118.5622081,34.43148581
173,304,172,173,6037920337,920337,9203.37,17737927.02,21844.29431,6037920337,1400000US06037920337,6037920337,"Census Tract 9203.37, Los Angeles County, California",7947,4851,395,79,640,0,1389,593,68047,63,167,539,50,2016,13,0,49,19,2,5,18,0,43,1,11,19,53,7,0,0,32,29,21844.29431,3,304,-118.5128869,34.37366646
181,66,180,181,6037920015,920015,9200.15,63081549.67,38691.86355,6037920015,1400000US06037920015,6037920015,"Census Tract 9200.15, Los Angeles County, California",6007,4558,140,13,571,0,230,495,134910,66,61,183,32,2016,2,0,3,4,2,0,14,0,5,0,2,3,14,3,0,0,8,6,38691.86355,0,66,-118.5283665,34.47339229
196,429,195,196,6037920326,920326,9203.26,734319022.1,155583.2419,6037920326,1400000US06037920326,6037920326,"Census Tract 9203.26, Los Angeles County, California",6972,4231,298,40,1573,0,187,643,141316,34,50,279,70,2016,11,0,22,36,4,3,50,0,19,0,7,45,183,10,1,0,26,3,155583.2419,9,429,-118.6080687,34.36256929
198,71,197,198,6037920338,920338,9203.38,39988130.93,34168.79201,6037920338,1400000US06037920338,6037920338,"Census Tract 9203.38, Los Angeles County, California",6167,4382,193,10,1260,0,47,275,164215,46,35,287,36,2016,2,0,7,11,3,2,6,0,2,0,4,2,21,1,4,0,6,0,34168.79201,0,71,-118.5964423,34.38608852
199,23,198,199,6037920119,920119,9201.19,54486313.24,34232.23499,6037920119,1400000US06037920119,6037920119,"Census Tract 9201.19, Los Angeles County, California",2051,1515,25,11,265,0,103,132,149246,13,24,121,22,2016,0,0,4,4,1,0,5,0,0,0,1,1,0,0,2,0,3,2,34232.23499,0,23,-118.6431872,34.46517407
200,79,199,200,6037920116,920116,9201.16,79941794.19,44184.28198,6037920116,1400000US06037920116,6037920116,"Census Tract 9201.16, Los Angeles County, California",5213,4005,329,0,513,23,78,265,116414,58,57,323,0,2016,5,0,12,6,1,0,15,0,7,0,11,3,8,2,3,0,3,3,44184.28198,0,79,-118.6340955,34.48130106
201,52,200,201,6037920045,920045,9200.45,20125009.24,19934.08238,6037920045,1400000US06037920045,6037920045,"Census Tract 9200.45, Los Angeles County, California",4916,3765,70,0,639,0,187,255,133193,41,68,229,42,2016,2,0,6,3,0,2,16,0,1,0,3,2,5,1,2,0,4,5,19934.08238,0,52,-118.5169109,34.45339754
205,40,204,205,6037106111,106111,1061.11,41188451.03,35309.88897,6037106111,1400000US06037106111,6037106111,"Census Tract 1061.11, Los Angeles County, California",4794,3086,138,150,242,0,929,249,89619,32,92,185,94,2016,3,0,1,2,0,0,0,0,0,0,2,2,10,2,0,0,13,4,35309.88897,1,40,-118.4074774,34.32119072
206,0,205,206,6037106603,106603,1066.03,164660561.4,61679.85289,6037106603,1400000US06037106603,6037106603,"Census Tract 1066.03, Los Angeles County, California",3253,2046,76,0,665,25,58,383,123596,41,33,50,77,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61679.85289,0,0,-118.5231474,34.31760411
214,57,213,214,6037920332,920332,9203.32,45969387.4,36354.73444,6037920332,1400000US06037920332,6037920332,"Census Tract 9203.32, Los Angeles County, California",2474,1961,75,7,203,8,145,75,99456,19,38,741,36,2016,2,0,4,8,0,0,6,0,6,0,0,0,20,0,0,0,1,9,36354.73444,1,57,-118.511963,34.3829589
215,2,214,215,6037106510,106510,1065.1,61694363.57,37117.53767,6037106510,1400000US06037106510,6037106510,"Census Tract 1065.10, Los Angeles County, California",5178,3626,300,0,388,0,670,194,92319,28,111,174,24,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,37117.53767,0,2,-118.4850971,34.32356889
219,95,218,219,6037920328,920328,9203.28,25832036.63,20894.72693,6037920328,1400000US06037920328,6037920328,"Census Tract 9203.28, Los Angeles County, California",2045,1468,17,11,378,0,58,113,154553,28,25,107,16,2016,8,1,9,9,0,0,7,0,1,0,4,3,37,0,0,0,3,13,20894.72693,0,95,-118.5718745,34.41637243
220,179,219,220,6037920330,920330,9203.3,35434104.86,24066.17824,6037920330,1400000US06037920330,6037920330,"Census Tract 9203.30, Los Angeles County, California",5823,4324,10,0,807,37,251,394,107710,45,73,131,147,2016,7,0,22,17,2,5,17,0,8,0,11,9,50,2,0,0,8,21,24066.17824,0,179,-118.5631964,34.4026057
221,427,220,221,6037920329,920329,9203.29,23644805.61,20903.10498,6037920329,1400000US06037920329,6037920329,"Census Tract 9203.29, Los Angeles County, California",5561,3873,130,42,629,77,482,328,103800,36,72,139,45,2016,19,0,26,22,4,11,46,0,8,0,14,20,199,7,6,0,20,23,20903.10498,2,427,-118.5503732,34.41056012
222,77,221,222,6037920303,920303,9203.03,554785717.1,137200.0796,6037920303,1400000US06037920303,6037920303,"Census Tract 9203.03, Los Angeles County, California",1542,966,47,15,301,0,80,133,213771,8,21,138,20,2016,0,0,1,8,0,0,2,0,5,0,2,17,11,0,1,0,4,23,137200.0796,3,77,-118.6107407,34.31410519
223,295,222,223,6037920312,920312,9203.12,137349771.2,58035.41795,6037920312,1400000US06037920312,6037920312,"Census Tract 9203.12, Los Angeles County, California",5654,4245,214,31,580,0,188,396,112019,100,68,97,92,2016,12,3,17,25,5,3,33,0,21,0,8,13,78,7,5,0,25,37,58035.41795,3,295,-118.527153,34.35884802
224,184,223,224,6037920313,920313,9203.13,31456536.48,25095.91022,6037920313,1400000US06037920313,6037920313,"Census Tract 9203.13, Los Angeles County, California",5724,4770,48,78,467,0,270,91,115754,8,66,317,120,2016,8,1,20,18,0,4,27,0,9,0,7,20,39,2,1,0,13,13,25095.91022,2,184,-118.5513297,34.37156483
225,243,224,225,6037920314,920314,9203.14,122265289.5,52986.64631,6037920314,1400000US06037920314,6037920314,"Census Tract 9203.14, Los Angeles County, California",2983,2272,13,27,185,0,232,254,124684,29,45,178,36,2016,9,0,11,18,2,4,34,0,10,0,9,7,96,0,1,0,12,25,52986.64631,5,243,-118.5207587,34.40389457
