OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,GEOID10,CT10,LABEL,Shape_STAr,Shape_STLe,GEOID_INT,GEO_id,GEO_id2,GEO_displa,TOTAL_POP,WHITE,BLACK,AMER_IND,ASIAN,PAC_ISLND,OTHER,TWO_MORE,MEANINCOME,LESS_HS,HS_GRAD,SOME_COLGE,BA_HIGHER,YEAR,AlcoholRel,Arson,Assault,Burglaries,FederalOff,FelonMisc,Fraud,Gambling,GrandTheft,Homicide,MentallyIl,Narcotics,Robberies,SexOffense,Suicide,Vagrancy,Vandalism,VehicBoatL,Shape_Leng,WeaponLaws,AllCrimes,X,Y
3,52,2,3,6037930301,930301,9303.01,11118018325,628603.5313,6037930301,1400000US06037930301,6037930301,"Census Tract 9303.01, Los Angeles County, California",788,585,83,4,5,0,69,42,85892,47,59,36,0,2016,1,0,5,2,0,0,0,0,0,0,0,0,10,1,2,0,0,31,628603.5313,0,52,-117.8630746,34.3014694
245,86,244,245,6037930200,930200,9302,3285330139,459782.9114,6037930200,1400000US06037930200,6037930200,"Census Tract 9302, Los Angeles County, California",485,437,26,4,0,0,13,5,122102,0,35,27,0,2016,7,3,3,1,0,0,1,0,5,0,2,7,12,0,0,0,21,24,459782.9114,0,86,-118.2883299,34.34086675
258,9,257,258,6037910811,910811,9108.11,3485719667,477835.434,6037910811,1400000US06037910811,6037910811,"Census Tract 9108.11, Los Angeles County, California",121,121,0,0,0,0,0,0,112693,0,20,12,0,2016,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,2,1,477835.434,0,9,-118.1478748,34.42091748
278,13,277,278,6037930101,930101,9301.01,1675209113,351647.2099,6037930101,1400000US06037930101,6037930101,"Census Tract 9301.01, Los Angeles County, California",111,67,0,0,4,0,12,28,87668,0,12,12,0,2016,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,0,0,1,351647.2099,0,13,-118.114878,34.23524853
1263,2,1262,1263,6037300301,300301,3003.01,66411946.18,41878.73608,6037300301,1400000US06037300301,6037300301,"Census Tract 3003.01, Los Angeles County, California",6199,4357,3,0,1544,0,35,260,125743,41,73,291,202,2016,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,41878.73608,0,2,-118.2520183,34.25085527
1309,0,1308,1309,6037980026,980026,9800.26,149532777.6,102758.181,6037980026,1400000US06037980026,6037980026,"Census Tract 9800.26, Los Angeles County, California",41,24,9,0,0,0,4,4,0,0,12,0,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102758.181,0,0,-118.2792357,34.27519267
1423,4,1422,1423,6037181000,181000,1810,44534103.92,37818.77043,6037181000,1400000US06037181000,6037181000,"Census Tract 1810, Los Angeles County, California",6481,3970,59,56,1566,0,418,412,128141,34,39,196,45,2016,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,37818.77043,0,4,-118.202838,34.14399582
1492,82,1491,1492,6037300100,300100,3001,49488344.82,30834.75989,6037300100,1400000US06037300100,6037300100,"Census Tract 3001, Los Angeles County, California",5917,4305,90,0,1255,0,101,166,135005,29,35,204,94,2016,2,0,2,11,1,0,22,0,0,0,3,1,30,1,0,0,8,0,30834.75989,1,82,-118.2344098,34.24203897
1496,0,1495,1496,6037183702,183702,1837.02,9614661.626,17143.55027,6037183702,1400000US06037183702,6037183702,"Census Tract 1837.02, Los Angeles County, California",3022,1290,153,0,498,0,834,247,72210,28,63,144,28,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17143.55027,0,0,-118.1842077,34.10547981
1532,0,1531,1532,6037300902,300902,3009.02,47346381.32,36917.95416,6037300902,1400000US06037300902,6037300902,"Census Tract 3009.02, Los Angeles County, California",2075,1538,0,0,403,0,13,121,142289,0,13,63,25,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36917.95416,0,0,-118.2003213,34.15427662
1549,0,1548,1549,6037300901,300901,3009.01,74847595.08,43284.33881,6037300901,1400000US06037300901,6037300901,"Census Tract 3009.01, Los Angeles County, California",6366,4532,0,77,1237,0,17,503,181926,14,82,217,33,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43284.33881,0,0,-118.2060842,34.1690098
1580,82,1579,1580,6037460501,460501,4605.01,81310488.79,60139.6234,6037460501,1400000US06037460501,6037460501,"Census Tract 4605.01, Los Angeles County, California",5372,3410,0,0,1641,0,92,229,233492,9,37,252,185,2016,0,0,1,17,0,0,14,0,1,0,4,1,25,2,0,1,4,10,60139.6234,2,82,-118.1929824,34.21811005
1584,227,1583,1584,6037460700,460700,4607,80139092.01,45186.81309,6037460700,1400000US06037460700,6037460700,"Census Tract 4607, Los Angeles County, California",5071,3433,65,0,1320,0,63,190,271346,10,41,213,148,2016,7,0,6,36,5,2,46,0,5,0,5,7,60,2,0,0,13,33,45186.81309,0,227,-118.1972018,34.19335851
1666,0,1665,1666,6037181500,181500,1815,11783033.34,17908.65512,6037181500,1400000US06037181500,6037181500,"Census Tract 1815, Los Angeles County, California",3799,2226,27,0,578,56,755,157,106865,7,31,140,11,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17908.65512,0,0,-118.1928631,34.13478561
1674,1,1673,1674,6037481606,481606,4816.06,9279019.482,14834.30337,6037481606,1400000US06037481606,6037481606,"Census Tract 4816.06, Los Angeles County, California",5046,615,221,0,3196,0,882,132,57295,11,83,276,58,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14834.30337,0,1,-118.1259972,34.0764547
1675,7,1674,1675,6037433101,433101,4331.01,16821951.5,25677.75149,6037433101,1400000US06037433101,6037433101,"Census Tract 4331.01, Los Angeles County, California",2433,896,5,13,1259,0,212,48,60544,28,38,51,21,2016,0,0,2,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,25677.75149,0,7,-118.0596802,34.06880374
1676,0,1675,1676,6037481605,481605,4816.05,8239649.973,13994.87464,6037481605,1400000US06037481605,6037481605,"Census Tract 4816.05, Los Angeles County, California",2880,545,0,36,1876,0,394,29,65085,52,57,82,39,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13994.87464,0,0,-118.1255999,34.07190785
1677,8,1676,1677,6037460401,460401,4604.01,58620139.27,89963.15685,6037460401,1400000US06037460401,6037460401,"Census Tract 4604.01, Los Angeles County, California",1070,403,349,0,42,5,193,78,86869,5,14,33,0,2016,1,0,2,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,89963.15685,0,8,-118.1796099,34.21724071
1678,1,1677,1678,6037405302,405302,4053.02,19342536.97,21926.71212,6037405302,1400000US06037405302,6037405302,"Census Tract 4053.02, Los Angeles County, California",6135,1624,151,0,1133,0,3116,111,76661,84,108,334,10,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21926.71212,0,1,-117.9440062,34.07647077
