OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,GEOID10,CT10,LABEL,Shape_STAr,Shape_STLe,GEOID_INT,GEO_id,GEO_id2,GEO_displa,TOTAL_POP,WHITE,BLACK,AMER_IND,ASIAN,PAC_ISLND,OTHER,TWO_MORE,MEANINCOME,LESS_HS,HS_GRAD,SOME_COLGE,BA_HIGHER,YEAR,AlcoholRel,Arson,Assault,Burglaries,FederalOff,FelonMisc,Fraud,Gambling,GrandTheft,Homicide,MentallyIl,Narcotics,Robberies,SexOffense,Suicide,Vagrancy,Vandalism,VehicBoatL,Shape_Leng,WeaponLaws,AllCrimes,X,Y
615,3,614,615,6037570403,570403,5704.03,6143145.386,10592.86201,6037570403,1400000US06037570403,6037570403,"Census Tract 5704.03, Los Angeles County, California",5173,1725,756,11,311,0,2275,95,57832,118,113,272,0,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,10592.86201,0,3,-118.204498,33.87787166
631,258,630,631,6037542106,542106,5421.06,9838747.932,16384.1551,6037542106,1400000US06037542106,6037542106,"Census Tract 5421.06, Los Angeles County, California",3395,1584,416,0,31,0,1180,184,46148,141,38,212,6,2016,6,1,24,6,0,0,11,0,42,1,11,33,52,4,0,0,17,43,16384.1551,7,258,-118.1888443,33.89277997
632,218,631,632,6037542105,542105,5421.05,6711581.871,12028.28173,6037542105,1400000US06037542105,6037542105,"Census Tract 5421.05, Los Angeles County, California",4893,2672,561,30,42,0,1525,63,56030,175,95,254,0,2016,1,1,37,11,1,0,3,0,31,0,5,20,46,5,1,0,15,34,12028.28173,7,218,-118.1990772,33.89321597
633,0,632,633,6037570404,570404,5704.04,9288839.276,15581.27272,6037570404,1400000US06037570404,6037570404,"Census Tract 5704.04, Los Angeles County, California",3525,1266,682,0,119,102,1210,146,62162,77,51,213,6,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15581.27272,0,0,-118.1960952,33.87763611
647,514,646,647,6037602801,602801,6028.01,13495609.52,15771.1837,6037602801,1400000US06037602801,6037602801,"Census Tract 6028.01, Los Angeles County, California",3519,775,1100,0,37,0,1448,159,45504,95,109,189,28,2016,24,3,101,24,0,9,19,0,26,0,9,72,117,19,5,0,39,33,15771.1837,14,514,-118.3001839,33.92740676
651,347,650,651,6037600304,600304,6003.04,4798305.859,9662.240289,6037600304,1400000US06037600304,6037600304,"Census Tract 6003.04, Los Angeles County, California",3412,1111,1306,22,24,0,902,47,35220,56,38,185,0,2016,17,0,75,32,0,7,17,0,23,1,1,49,54,5,1,1,33,18,9662.240289,13,347,-118.294025,33.93536575
652,245,651,652,6037535002,535002,5350.02,5201856.186,9325.696191,6037535002,1400000US06037535002,6037535002,"Census Tract 5350.02, Los Angeles County, California",3534,1745,219,12,8,0,1513,37,49704,69,67,255,10,2016,9,2,47,11,0,6,4,0,34,3,2,19,68,2,0,2,13,17,9325.696191,6,245,-118.2465315,33.97117142
653,173,652,653,6037535001,535001,5350.01,4841546.922,8859.379874,6037535001,1400000US06037535001,6037535001,"Census Tract 5350.01, Los Angeles County, California",4456,1601,413,0,0,0,2405,37,44968,231,82,263,23,2016,9,0,39,5,0,1,14,0,25,1,3,23,19,2,0,2,10,12,8859.379874,8,173,-118.2531521,33.97141112
654,183,653,654,6037533001,533001,5330.01,5141723.782,11047.15982,6037533001,1400000US06037533001,6037533001,"Census Tract 5330.01, Los Angeles County, California",4433,1371,69,9,0,0,2862,122,44619,175,109,173,0,2016,5,0,35,7,0,3,3,0,21,1,1,22,46,4,0,2,13,15,11047.15982,5,183,-118.2455622,33.98022707
657,2,656,657,6037241201,241201,2412.01,5230416.261,10180.37497,6037241201,1400000US06037241201,6037241201,"Census Tract 2412.01, Los Angeles County, California",2884,822,1070,4,10,0,896,82,46730,57,29,139,29,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10180.37497,0,2,-118.285847,33.94024507
658,7,657,658,6037239801,239801,2398.01,3990942.244,9960.997276,6037239801,1400000US06037239801,6037239801,"Census Tract 2398.01, Los Angeles County, California",3524,1090,597,0,6,0,1806,25,41179,64,41,226,12,2016,0,0,1,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,9960.997276,1,7,-118.2629439,33.96605807
659,1,658,659,6037234901,234901,2349.01,3502786.044,7934.900329,6037234901,1400000US06037234901,6037234901,"Census Tract 2349.01, Los Angeles County, California",2499,528,1106,69,0,0,789,7,25617,31,27,68,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7934.900329,0,1,-118.3286731,33.98179249
