OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,GEOID10,CT10,LABEL,Shape_STAr,Shape_STLe,GEOID_INT,GEO_id,GEO_id2,GEO_displa,TOTAL_POP,WHITE,BLACK,AMER_IND,ASIAN,PAC_ISLND,OTHER,TWO_MORE,MEANINCOME,LESS_HS,HS_GRAD,SOME_COLGE,BA_HIGHER,YEAR,AlcoholRel,Arson,Assault,Burglaries,FederalOff,FelonMisc,Fraud,Gambling,GrandTheft,Homicide,MentallyIl,Narcotics,Robberies,SexOffense,Suicide,Vagrancy,Vandalism,VehicBoatL,Shape_Leng,WeaponLaws,AllCrimes,X,Y
4,0,3,4,6037573003,573003,5730.03,4824001.884,9050.008458,6037573003,1400000US06037573003,6037573003,"Census Tract 5730.03, Los Angeles County, California",1931,827,226,124,355,0,203,196,63250,75,58,43,11,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9050.008458,0,0,-118.2022567,33.7935347
5,1,4,5,6037297602,297602,2976.02,6697030.715,12308.31538,6037297602,1400000US06037297602,6037297602,"Census Tract 2976.02, Los Angeles County, California",3929,2638,284,8,265,0,467,267,81381,46,75,195,30,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12308.31538,0,1,-118.290333,33.71590739
6,0,5,6,6037297601,297601,2976.01,7986145.052,20183.84337,6037297601,1400000US06037297601,6037297601,"Census Tract 2976.01, Los Angeles County, California",2559,1916,248,0,18,7,27,343,72408,0,35,136,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20183.84337,0,0,-118.2874586,33.7132822
7,0,6,7,6037577504,577504,5775.04,5544276.619,24927.62872,6037577504,1400000US06037577504,6037577504,"Census Tract 5775.04, Los Angeles County, California",1418,1180,55,6,52,42,6,77,168199,0,11,25,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24927.62872,0,0,-118.1257764,33.74851303
8,0,7,8,6037576903,576903,5769.03,3495520.231,7937.925279,6037576903,1400000US06037576903,6037576903,"Census Tract 5769.03, Los Angeles County, California",4012,2547,731,0,254,0,415,65,52466,19,77,276,62,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7937.925279,0,0,-118.156779,33.78078356
9,0,8,9,6037576302,576302,5763.02,3484769.051,7919.613971,6037576302,1400000US06037576302,6037576302,"Census Tract 5763.02, Los Angeles County, California",5330,1865,632,126,1719,0,647,341,46865,126,67,217,82,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7919.613971,0,0,-118.182861,33.7789767
10,15,9,10,6037576301,576301,5763.01,5905100.44,9753.973011,6037576301,1400000US06037576301,6037576301,"Census Tract 5763.01, Los Angeles County, California",4134,2050,725,19,549,27,495,269,50325,43,61,267,20,2016,1,0,4,0,0,0,0,0,0,0,1,1,7,1,0,0,0,0,9753.973011,0,15,-118.1887086,33.77897337
11,18,10,11,6037576001,576001,5760.01,19358566.66,39836.68644,6037576001,1400000US06037576001,6037576001,"Census Tract 5760.01, Los Angeles County, California",5587,2783,998,0,1452,0,90,264,103739,84,173,42,68,2016,1,0,2,0,0,2,0,0,0,0,0,2,10,0,0,0,1,0,39836.68644,0,18,-118.1933339,33.76519515
12,8,11,12,6037293306,293306,2933.06,6766930.725,11598.76959,6037293306,1400000US06037293306,6037293306,"Census Tract 2933.06, Los Angeles County, California",2414,1330,253,0,247,0,204,380,98509,45,77,76,19,2016,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,2,11598.76959,0,8,-118.3046043,33.7826016
13,1,12,13,6037295103,295103,2951.03,22155395.87,25554.18205,6037295103,1400000US06037295103,6037295103,"Census Tract 2951.03, Los Angeles County, California",4890,3564,99,0,613,18,184,412,102161,16,54,283,42,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25554.18205,0,1,-118.2963337,33.76248454
14,29,13,14,6037980015,980015,9800.15,59192458.26,35568.18328,6037980015,1400000US06037980015,6037980015,"Census Tract 9800.15, Los Angeles County, California",329,133,119,0,28,32,15,2,40441,1,33,28,0,2016,0,0,4,3,2,2,0,0,1,0,1,0,5,2,0,0,1,5,35568.18328,3,29,-118.2934391,33.77653816
15,226,14,15,6037670602,670602,6706.02,152738527.9,101823.7747,6037670602,1400000US06037670602,6037670602,"Census Tract 6706.02, Los Angeles County, California",7049,4814,141,0,1338,56,175,525,158821,66,41,232,170,2016,8,0,13,29,1,0,29,0,9,0,7,12,50,4,6,0,13,44,101823.7747,1,226,-118.3673395,33.74429159
16,85,15,16,6037670416,670416,6704.16,38505146.09,30679.50893,6037670416,1400000US06037670416,6037670416,"Census Tract 6704.16, Los Angeles County, California",4114,2079,221,0,1506,0,106,202,146311,9,52,196,0,2016,3,0,5,11,0,1,16,0,2,0,7,2,20,0,0,0,1,17,30679.50893,0,85,-118.4047537,33.75589207
17,1,16,17,6037670328,670328,6703.28,38555098.34,36912.99605,6037670328,1400000US06037670328,6037670328,"Census Tract 6703.28, Los Angeles County, California",4964,3538,40,0,1066,0,26,294,249517,59,47,86,83,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36912.99605,0,1,-118.4148431,33.77224686
18,0,17,18,6037670326,670326,6703.26,43389624.94,39140.47638,6037670326,1400000US06037670326,6037670326,"Census Tract 6703.26, Los Angeles County, California",3476,2120,45,22,976,9,97,207,242712,16,17,59,35,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39140.47638,0,0,-118.4014323,33.78671352
19,4,18,19,6037670324,670324,6703.24,50988818.18,45007.46771,6037670324,1400000US06037670324,6037670324,"Census Tract 6703.24, Los Angeles County, California",5142,4079,104,0,738,0,18,203,239342,13,47,198,0,2016,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,45007.46771,0,4,-118.3806367,33.79887909
20,2,19,20,6037651402,651402,6514.02,19695040.65,23809.03626,6037651402,1400000US06037651402,6037651402,"Census Tract 6514.02, Los Angeles County, California",6295,2955,59,0,2798,0,53,430,118518,0,65,277,74,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23809.03626,0,2,-118.345501,33.79655401
21,1,20,21,6037651401,651401,6514.01,10817426.5,15690.55767,6037651401,1400000US06037651401,6037651401,"Census Tract 6514.01, Los Angeles County, California",2603,1839,8,13,631,14,36,62,96171,9,16,96,29,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15690.55767,0,1,-118.3338255,33.78636273
22,1,21,22,6037297202,297202,2972.02,6198688.54,9987.203954,6037297202,1400000US06037297202,6037297202,"Census Tract 2972.02, Los Angeles County, California",4107,2625,91,0,418,0,282,691,90990,45,48,271,9,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9987.203954,0,1,-118.2990195,33.72473977
23,2,22,23,6037297201,297201,2972.01,4348887.161,8280.532166,6037297201,1400000US06037297201,6037297201,"Census Tract 2972.01, Los Angeles County, California",4003,2241,502,6,320,3,683,248,69138,182,110,275,10,2016,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8280.532166,0,2,-118.2914287,33.72490846
24,5,23,24,6037296902,296902,2969.02,5282901.069,11982.86472,6037296902,1400000US06037296902,6037296902,"Census Tract 2969.02, Los Angeles County, California",4246,2693,176,0,193,0,988,196,65338,69,61,169,0,2016,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,11982.86472,0,5,-118.2956366,33.73445894
25,2,24,25,6037296901,296901,2969.01,6645893.781,11354.58968,6037296901,1400000US06037296901,6037296901,"Census Tract 2969.01, Los Angeles County, California",3987,1882,208,63,156,150,1090,438,51778,96,71,121,28,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11354.58968,0,2,-118.2945777,33.73016762
26,5,25,26,6037296402,296402,2964.02,11251263.15,17029.67316,6037296402,1400000US06037296402,6037296402,"Census Tract 2964.02, Los Angeles County, California",3099,2165,198,20,221,0,338,157,94683,45,42,128,54,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17029.67316,0,5,-118.3038664,33.74656564
27,5,26,27,6037296401,296401,2964.01,10636305.33,14230.11306,6037296401,1400000US06037296401,6037296401,"Census Tract 2964.01, Los Angeles County, California",3280,2400,110,0,215,0,128,427,95358,11,23,118,28,2016,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,14230.11306,0,5,-118.3141814,33.74177796
28,3,27,28,6037294701,294701,2947.01,18860179.24,19832.88444,6037294701,1400000US06037294701,6037294701,"Census Tract 2947.01, Los Angeles County, California",3148,1948,111,267,52,58,649,63,42513,78,43,130,16,2016,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,19832.88444,0,3,-118.2549199,33.77802093
29,7,28,29,6037294421,294421,2944.21,7154658.987,16439.86759,6037294421,1400000US06037294421,6037294421,"Census Tract 2944.21, Los Angeles County, California",3048,1253,236,0,477,0,912,170,62882,79,45,78,39,2016,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,16439.86759,0,7,-118.2975785,33.79037804
30,2,29,30,6037294302,294302,2943.02,9046145.136,14638.17782,6037294302,1400000US06037294302,6037294302,"Census Tract 2943.02, Los Angeles County, California",4750,2605,58,219,59,158,1432,219,61665,167,112,171,21,2016,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14638.17782,0,2,-118.2783024,33.78488133
31,120,30,31,6037670001,670001,6700.01,10114919.18,16579.66346,6037670001,1400000US06037670001,6037670001,"Census Tract 6700.01, Los Angeles County, California",3314,2134,86,0,597,3,267,227,78685,17,48,140,21,2016,4,0,13,11,1,2,11,0,5,0,4,13,28,3,0,0,9,15,16579.66346,1,120,-118.3166292,33.80386883
32,0,31,32,6037294301,294301,2943.01,7676011.805,11675.19419,6037294301,1400000US06037294301,6037294301,"Census Tract 2943.01, Los Angeles County, California",2556,1542,48,242,190,0,464,70,89920,89,26,139,28,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11675.19419,0,0,-118.2795648,33.7946667
33,10,32,33,6037293307,293307,2933.07,3632856.643,9180.183748,6037293307,1400000US06037293307,6037293307,"Census Tract 2933.07, Los Angeles County, California",2668,823,303,0,398,0,866,278,53100,95,35,220,16,2016,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,3,9180.183748,1,10,-118.3035436,33.78737602
34,0,33,34,6037980007,980007,9800.07,29099596.31,24066.89202,6037980007,1400000US06037980007,6037980007,"Census Tract 9800.07, Los Angeles County, California",0,0,0,0,0,0,0,0,0,0,12,0,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24066.89202,0,0,-118.1024689,33.76360363
35,0,34,35,6037980006,980006,9800.06,36291903.77,38583.558,6037980006,1400000US06037980006,6037980006,"Census Tract 9800.06, Los Angeles County, California",0,0,0,0,0,0,0,0,0,0,12,0,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38583.55799,0,0,-118.0870897,33.81438832
36,197,35,36,6037543703,543703,5437.03,11149680.84,13591.21407,6037543703,1400000US06037543703,6037543703,"Census Tract 5437.03, Los Angeles County, California",3479,1301,73,20,970,100,603,412,93940,55,32,205,13,2016,4,1,18,13,0,0,15,0,11,0,3,9,85,4,0,0,20,13,13591.21407,1,197,-118.2699168,33.80352463
37,0,36,37,6037297300,297300,2973,13146592.98,18899.79113,6037297300,1400000US06037297300,6037297300,"Census Tract 2973, Los Angeles County, California",2210,1671,98,15,56,0,65,305,91775,9,17,39,6,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18899.79113,0,0,-118.3115852,33.7208496
38,1,37,38,6037297120,297120,2971.2,4768610.338,10234.19549,6037297120,1400000US06037297120,6037297120,"Census Tract 2971.20, Los Angeles County, California",3560,2301,38,0,48,12,1001,160,59701,187,41,213,0,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10234.19549,0,1,-118.2851082,33.72808604
39,2,38,39,6037296500,296500,2965,9776574.476,13864.81906,6037296500,1400000US06037296500,6037296500,"Census Tract 2965, Los Angeles County, California",4113,2070,433,42,42,0,911,615,47602,143,69,171,14,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,13864.81906,0,2,-118.2930868,33.74831749
40,1,39,40,6037297110,297110,2971.1,5248010.813,9163.596069,6037297110,1400000US06037297110,6037297110,"Census Tract 2971.10, Los Angeles County, California",4850,2328,825,17,329,3,1237,111,48868,114,111,200,12,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9163.596069,0,1,-118.2841992,33.73466668
41,2,40,41,6037297400,297400,2974,22543282.28,21706.76764,6037297400,1400000US06037297400,6037297400,"Census Tract 2974, Los Angeles County, California",3703,3155,92,0,173,0,102,181,122419,0,41,97,42,2016,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,21706.76764,0,2,-118.3214646,33.7251386
42,1,41,42,6037297500,297500,2975,21889067.67,21697.21578,6037297500,1400000US06037297500,6037297500,"Census Tract 2975, Los Angeles County, California",5193,3837,345,78,186,0,253,494,123796,59,15,246,56,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21697.21578,0,1,-118.3005942,33.71563029
43,148,42,43,6037609900,609900,6099,5827822.684,14086.53922,6037609900,1400000US06037609900,6037609900,"Census Tract 6099, Los Angeles County, California",1977,1391,124,7,77,0,278,100,68839,38,77,54,13,2016,2,0,15,15,0,2,5,0,8,0,7,38,23,0,1,0,13,16,14086.53922,3,148,-118.302183,33.74020631
44,2,43,44,6037296220,296220,2962.2,5774281.271,9598.060293,6037296220,1400000US06037296220,6037296220,"Census Tract 2962.20, Los Angeles County, California",4226,1219,622,0,271,84,1717,313,47600,180,134,175,24,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9598.060293,0,2,-118.283792,33.74103272
45,63,44,45,6037670413,670413,6704.13,23535290.39,21025.09535,6037670413,1400000US06037670413,6037670413,"Census Tract 6704.13, Los Angeles County, California",4886,2514,63,0,2098,0,23,188,148564,18,25,80,26,2016,4,0,6,7,1,0,15,0,0,0,3,3,10,0,0,0,6,7,21025.09535,1,63,-118.3974807,33.77258663
46,1,45,46,6037574500,574500,5745,28361462.75,25347.36522,6037574500,1400000US06037574500,6037574500,"Census Tract 5745, Los Angeles County, California",6450,5156,122,0,702,0,225,245,117803,147,46,253,67,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25347.36522,0,1,-118.1003535,33.78720387
47,0,46,47,6037574901,574901,5749.01,14440218.02,16979.32656,6037574901,1400000US06037574901,6037574901,"Census Tract 5749.01, Los Angeles County, California",3765,3098,8,10,400,0,90,159,105613,13,58,205,39,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16979.32656,0,0,-118.1251881,33.79214819
48,1,47,48,6037577100,577100,5771,13084241.47,14526.3868,6037577100,1400000US06037577100,6037577100,"Census Tract 5771, Los Angeles County, California",7143,5601,359,24,477,0,210,472,81602,106,88,344,92,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14526.3868,0,1,-118.148077,33.77079755
49,0,48,49,6037575002,575002,5750.02,10392446.26,14777.7541,6037575002,1400000US06037575002,6037575002,"Census Tract 5750.02, Los Angeles County, California",4964,3452,352,8,657,0,177,318,80634,21,47,269,107,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14777.7541,0,0,-118.1434798,33.78578936
50,2,49,50,6037294820,294820,2948.2,4128349.655,8204.369467,6037294820,1400000US06037294820,6037294820,"Census Tract 2948.20, Los Angeles County, California",3742,2178,34,298,22,0,1078,132,41369,122,50,257,0,2016,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8204.369467,0,2,-118.2656379,33.77978679
51,21,50,51,6037293304,293304,2933.04,6130718.869,9931.991662,6037293304,1400000US06037293304,6037293304,"Census Tract 2933.04, Los Angeles County, California",4214,1473,241,48,617,41,1369,425,63812,31,95,315,0,2016,0,0,0,0,0,0,0,0,1,0,0,6,1,1,0,0,0,10,9931.991662,2,21,-118.3043271,33.79262202
52,17,51,52,6037293302,293302,2933.02,12049811.51,15348.4883,6037293302,1400000US06037293302,6037293302,"Census Tract 2933.02, Los Angeles County, California",5455,2574,457,22,1085,220,862,235,78968,68,83,176,93,2016,0,0,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,7,15348.4883,0,17,-118.3042208,33.80161677
53,125,52,53,6037670403,670403,6704.03,17981667.76,19438.94363,6037670403,1400000US06037670403,6037670403,"Census Tract 6704.03, Los Angeles County, California",2685,1570,23,0,916,11,8,157,156083,14,22,108,29,2016,6,0,7,24,1,0,15,0,1,0,0,3,45,0,1,0,9,13,19438.94363,0,125,-118.3683736,33.77514652
54,0,53,54,6037574400,574400,5744,36510736.68,24468.55113,6037574400,1400000US06037574400,6037574400,"Census Tract 5744, Los Angeles County, California",5015,4101,74,31,435,0,90,284,111597,26,34,109,42,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24468.55113,0,0,-118.1019324,33.80344276
55,1,54,55,6037576802,576802,5768.02,5035922.934,9265.782932,6037576802,1400000US06037576802,6037576802,"Census Tract 5768.02, Los Angeles County, California",3852,2506,548,58,256,15,368,101,67194,13,64,155,30,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9265.782932,1,1,-118.1577396,33.7717905
56,0,55,56,6037576801,576801,5768.01,5541445.449,9848.652952,6037576801,1400000US06037576801,6037576801,"Census Tract 5768.01, Los Angeles County, California",4209,2485,520,36,461,0,450,257,65970,16,68,142,12,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9848.652952,0,0,-118.164294,33.77158052
57,0,56,57,6037576700,576700,5767,8612265.529,14419.44347,6037576700,1400000US06037576700,6037576700,"Census Tract 5767, Los Angeles County, California",3921,3017,347,41,230,5,73,208,89492,4,27,187,82,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14419.44347,0,0,-118.1604477,33.76420973
58,0,57,58,6037576601,576601,5766.01,4613680.843,9890.088291,6037576601,1400000US06037576601,6037576601,"Census Tract 5766.01, Los Angeles County, California",4429,2942,633,18,86,77,405,268,68000,0,12,43,123,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9890.088291,0,0,-118.1793224,33.76648699
59,0,58,59,6037576602,576602,5766.02,5675111.933,18461.3634,6037576602,1400000US06037576602,6037576602,"Census Tract 5766.02, Los Angeles County, California",4416,3046,551,0,298,50,391,80,74176,0,101,211,25,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18461.3634,0,0,-118.1710553,33.76545049
60,1,59,60,6037576501,576501,5765.01,3136672.636,7291.404794,6037576501,1400000US06037576501,6037576501,"Census Tract 5765.01, Los Angeles County, California",2951,1654,393,60,90,25,590,139,51890,67,46,96,30,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7291.404794,0,1,-118.1787427,33.77224387
61,0,60,61,6037576503,576503,5765.03,3356437.591,7911.514399,6037576503,1400000US06037576503,6037576503,"Census Tract 5765.03, Los Angeles County, California",4415,2639,689,93,270,103,420,201,55276,46,71,427,88,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7911.514399,0,0,-118.1697529,33.77183392
62,8,61,62,6037576200,576200,5762,7499860.39,11216.64229,6037576200,1400000US06037576200,6037576200,"Census Tract 5762, Los Angeles County, California",5726,3324,846,168,441,49,818,80,46348,13,105,448,106,2016,0,0,3,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,11216.64229,0,8,-118.1867758,33.77238843
63,0,62,63,6037576401,576401,5764.01,3488157.553,7928.138723,6037576401,1400000US06037576401,6037576401,"Census Tract 5764.01, Los Angeles County, California",5203,2143,667,60,587,0,1336,410,37902,140,70,326,39,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7928.138723,0,0,-118.178518,33.77897887
