OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,GEOID10,CT10,LABEL,Shape_STAr,Shape_STLe,GEOID_INT,GEO_id,GEO_id2,GEO_displa,TOTAL_POP,WHITE,BLACK,AMER_IND,ASIAN,PAC_ISLND,OTHER,TWO_MORE,MEANINCOME,LESS_HS,HS_GRAD,SOME_COLGE,BA_HIGHER,YEAR,AlcoholRel,Arson,Assault,Burglaries,FederalOff,FelonMisc,Fraud,Gambling,GrandTheft,Homicide,MentallyIl,Narcotics,Robberies,SexOffense,Suicide,Vagrancy,Vandalism,VehicBoatL,Shape_Leng,WeaponLaws,AllCrimes,X,Y
325,218,324,325,6037800506,800506,8005.06,284463782.1,98366.70288,6037800506,1400000US06037800506,6037800506,"Census Tract 8005.06, Los Angeles County, California",3243,2743,16,30,251,0,38,165,217155,42,19,65,21,2016,18,0,15,18,1,0,17,0,12,0,3,11,60,4,2,1,15,40,98366.70288,1,218,-118.609117,34.05702932
326,380,325,326,6037800504,800504,8005.04,229786487.4,110883.1848,6037800504,1400000US06037800504,6037800504,"Census Tract 8005.04, Los Angeles County, California",2420,2202,84,0,88,0,17,29,231463,0,17,193,106,2016,52,0,22,32,3,6,24,0,9,0,16,18,113,3,1,0,15,63,110883.1848,3,380,-118.6731423,34.05299916
327,152,326,327,6037800410,800410,8004.1,401878725.3,125210.2265,6037800410,1400000US06037800410,6037800410,"Census Tract 8004.10, Los Angeles County, California",4100,2718,142,74,735,0,106,325,184431,13,99,1935,77,2016,11,0,10,6,0,3,6,0,3,0,3,9,37,0,0,0,5,58,125210.2265,1,152,-118.7401996,34.05726398
328,346,327,328,6037800408,800408,8004.08,173387288.8,90272.41038,6037800408,1400000US06037800408,6037800408,"Census Tract 8004.08, Los Angeles County, California",7195,6255,77,0,297,0,93,473,238470,20,50,150,59,2016,30,1,22,31,2,9,39,0,9,0,13,14,73,8,0,0,26,68,90272.41038,1,346,-118.8076142,34.02502765
329,174,328,329,6037800406,800406,8004.06,979938495.2,194612.3459,6037800406,1400000US06037800406,6037800406,"Census Tract 8004.06, Los Angeles County, California",2816,2391,94,0,79,7,162,83,239787,68,31,71,24,2016,7,0,11,15,5,4,14,0,7,0,4,9,56,4,3,0,9,24,194612.3459,2,174,-118.8568598,34.06455728
331,33,330,331,6037800330,800330,8003.3,306347606.8,122547.5823,6037800330,1400000US06037800330,6037800330,"Census Tract 8003.30, Los Angeles County, California",1097,1034,5,0,26,0,11,21,176934,2,20,55,0,2016,2,0,2,2,1,1,1,0,0,0,1,5,6,3,0,0,6,3,122547.5823,0,33,-118.7551849,34.0937311
333,0,332,333,6037267404,267404,2674.04,3061719.11,7371.043252,6037267404,1400000US06037267404,6037267404,"Census Tract 2674.04, Los Angeles County, California",3099,2142,114,125,386,11,60,261,91931,0,15,68,185,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7371.043252,0,0,-118.4605456,34.04563629
340,0,339,340,6037702102,702102,7021.02,10011658.09,13723.76009,6037702102,1400000US06037702102,6037702102,"Census Tract 7021.02, Los Angeles County, California",5981,5009,272,29,320,0,147,204,111163,0,17,18,116,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13723.76009,0,0,-118.4791676,34.00128431
341,0,340,341,6037702002,702002,7020.02,10757741.01,13486.06358,6037702002,1400000US06037702002,6037702002,"Census Tract 7020.02, Los Angeles County, California",6374,5217,346,0,376,0,226,209,102239,18,73,178,81,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13486.06358,0,0,-118.4847856,34.00632914
342,25,341,342,6037701902,701902,7019.02,18473757.95,17292.42754,6037701902,1400000US06037701902,6037701902,"Census Tract 7019.02, Los Angeles County, California",4517,3315,483,0,450,0,31,238,109338,46,61,133,272,2016,0,0,7,0,0,1,0,0,0,0,1,2,10,0,0,0,1,3,17292.42754,0,25,-118.4935229,34.01385411
351,1,350,351,6037701402,701402,7014.02,8466015.868,12874.63698,6037701402,1400000US06037701402,6037701402,"Census Tract 7014.02, Los Angeles County, California",5961,4903,151,256,385,0,53,213,103024,0,17,125,46,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12874.63698,0,1,-118.5022984,34.02065922
353,0,352,353,6037701304,701304,7013.04,21899073.23,21423.80406,6037701304,1400000US06037701304,6037701304,"Census Tract 7013.04, Los Angeles County, California",6258,5403,69,0,526,0,0,260,200946,32,29,90,101,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21423.80406,0,0,-118.506043,34.03035178
355,2,354,355,6037265202,265202,2652.02,6192623.587,11549.01734,6037265202,1400000US06037265202,6037265202,"Census Tract 2652.02, Los Angeles County, California",3690,2579,24,0,655,17,272,143,139305,46,177,309,76,2016,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11549.01734,0,2,-118.4411947,34.06190496
356,0,355,356,6037264102,264102,2641.02,4267601.79,10245.73969,6037264102,1400000US06037264102,6037264102,"Census Tract 2641.02, Los Angeles County, California",2630,2271,48,0,208,0,23,80,133451,18,44,81,62,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10245.73969,0,0,-118.4693893,34.05951344
358,1,357,358,6037262704,262704,2627.04,19969787.22,25022.09607,6037262704,1400000US06037262704,6037262704,"Census Tract 2627.04, Los Angeles County, California",3427,2976,44,0,220,2,26,159,216277,27,18,67,30,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25022.09607,0,1,-118.5400714,34.04283087
387,0,386,387,6037262301,262301,2623.01,140591183.7,74403.86572,6037262301,1400000US06037262301,6037262301,"Census Tract 2623.01, Los Angeles County, California",3048,2446,41,0,367,0,62,132,313365,27,46,438,31,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74403.86572,0,0,-118.4921301,34.10391585
389,0,388,389,6037701202,701202,7012.02,4356378.678,9141.425322,6037701202,1400000US06037701202,6037701202,"Census Tract 7012.02, Los Angeles County, California",3312,2778,185,0,220,0,33,96,133365,0,13,69,23,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9141.425322,0,0,-118.4898254,34.03392915
390,1,389,390,6037278102,278102,2781.02,19617712.08,30503.51755,6037278102,1400000US06037278102,6037278102,"Census Tract 2781.02, Los Angeles County, California",3134,2577,49,17,152,0,138,201,220880,0,43,36,57,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30503.51755,0,1,-118.4466546,33.96077627
392,0,391,392,6037141500,141500,1415,35908551.91,31706.11664,6037141500,1400000US06037141500,6037141500,"Census Tract 1415, Los Angeles County, California",2985,2658,40,0,257,0,21,9,261734,28,16,30,43,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31706.11664,0,0,-118.4786543,34.14048719
393,0,392,393,6037271400,271400,2714,12368389.41,14507.93088,6037271400,1400000US06037271400,6037271400,"Census Tract 2714, Los Angeles County, California",3586,2862,15,11,403,23,47,225,148488,0,25,93,14,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14507.93088,0,0,-118.4474117,34.0100828
394,0,393,394,6037271300,271300,2713,15743103.22,19366.89861,6037271300,1400000US06037271300,6037271300,"Census Tract 2713, Los Angeles County, California",4818,3182,231,44,984,0,97,280,112111,0,31,103,84,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19366.89861,0,0,-118.4413575,34.02597011
395,11,394,395,6037271200,271200,2712,5644951.416,13692.63893,6037271200,1400000US06037271200,6037271200,"Census Tract 2712, Los Angeles County, California",2672,1641,132,7,612,0,154,126,82020,40,12,90,159,2016,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,13692.63893,0,11,-118.442016,34.03139646
412,0,411,412,6037272100,272100,2721,12909180.88,14819.19993,6037272100,1400000US06037272100,6037272100,"Census Tract 2721, Los Angeles County, California",4504,3537,18,0,317,26,201,405,113424,9,32,166,69,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14819.19993,0,0,-118.4423003,34.00371497
413,0,412,413,6037139802,139802,1398.02,65411703.41,46887.61672,6037139802,1400000US06037139802,6037139802,"Census Tract 1398.02, Los Angeles County, California",4014,3395,0,0,271,0,87,261,213333,27,50,83,60,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46887.61672,0,0,-118.5563683,34.1428699
416,0,415,416,6037139702,139702,1397.02,101139253.9,65655.60509,6037139702,1400000US06037139702,6037139702,"Census Tract 1397.02, Los Angeles County, California",5868,5102,212,0,344,0,69,141,237862,0,40,70,74,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65655.60509,0,0,-118.5062608,34.1408269
418,1,417,418,6037138000,138000,1380,48138031.01,31253.13194,6037138000,1400000US06037138000,6037138000,"Census Tract 1380, Los Angeles County, California",4587,3898,144,36,289,0,139,81,133830,8,58,146,26,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31253.13194,0,1,-118.5910626,34.14880582
