FID,X,Y
19,-117.9493492,34.04875503
23,-117.8513105,34.06978775
67,-118.0921414,33.85106948
75,-118.1444827,34.58345363
93,-117.7993273,34.0401447
94,-118.1105038,33.90754911
95,-118.173601,34.6864825
109,-117.7912335,34.02359143
114,-118.2630282,33.80695857
122,-118.0152607,34.10456984
124,-117.9169226,33.9891425
130,-118.3797584,34.08227579
141,-118.0663454,34.07392949
153,-118.5719151,34.42433626
155,-118.361409,33.93534834
171,-118.0762572,34.57510465
185,-117.9881989,34.04374382
186,-117.9628236,34.01175612
223,-118.3663442,34.45937826
229,-118.3570907,34.08762549
234,-118.4223905,34.42861493
238,-118.0970443,34.56636847
240,-118.311334,33.78526163
272,-118.1314873,34.01522303
297,-118.2654782,33.88555964
309,-117.8570593,34.02004152
311,-117.8325386,34.03414365
312,-117.8351821,34.03757243
320,-118.2964455,33.80787603
382,-118.789129,34.15013988
430,-118.300896,33.9407896
431,-118.2995202,33.95425764
455,-118.2256647,33.90108133
468,-118.1129719,34.57123386
478,-117.9458375,34.04888104
487,-117.9289717,34.02910053
518,-118.2726875,33.8315881
522,-117.8160961,34.07405215
560,-118.2517274,33.95318449
564,-118.2300674,33.95214055
568,-118.067835,34.56605702
575,-118.12678,34.5797898
581,-118.2111538,33.86498858
585,-118.3698256,33.94370221
596,-117.9744382,33.99580839
605,-118.063389,34.09494963
609,-118.1624072,33.83494182
653,-118.1435716,34.18571694
660,-118.1027892,34.69915142
666,-118.5806893,34.40951495
688,-117.9930392,33.92719578
689,-118.0676415,33.87287423
726,-118.1564368,33.88375384
729,-118.0460534,33.86806026
744,-118.1830575,33.93192238
794,-118.1277203,34.6700133
852,-118.218923,34.64552181
872,-118.252293,33.89923575
898,-118.1883135,34.69306938
912,-118.1294668,34.65019482
954,-118.1393426,33.90455339
966,-117.8313689,34.11079115
1003,-118.0660775,34.09556156
1008,-118.1718555,34.59854554
1020,-118.1001789,33.97135699
1036,-118.199531,34.20223097
1135,-118.2247868,33.91795548
1144,-118.0662777,33.8708179
1148,-118.1630796,34.68939865
1182,-118.2113387,33.84629286
1184,-118.0422933,34.0964277
1193,-118.5686626,34.04318998
1199,-118.153188,34.67961696
1202,-118.5929194,34.08960158
1208,-118.4200796,34.31450971
1211,-118.0827954,33.87468358
1242,-117.8359985,33.97183604
1260,-118.052367,34.05668551
1262,-118.1415387,33.89647637
1265,-118.2248365,33.96097237
1295,-118.1073051,33.91708965
1298,-118.1494841,34.70120809
1304,-118.111552,34.69788739
1320,-118.2965881,33.83208403
1331,-117.8551757,33.99764486
1335,-117.8268688,33.98407358
1340,-118.0284981,33.90387483
1355,-118.2419119,34.05893762
1389,-118.082604,33.85840033
1395,-118.3636908,33.94339391
1412,-117.887357,34.03111742
1439,-117.8615602,34.00830474
1462,-117.8169346,34.10382256
1477,-118.1791386,33.98233157
1521,-118.5829385,34.11725705
1539,-118.2372389,33.96034664
1568,-118.2654867,33.87279697
1575,-117.9443711,33.99031967
1637,-117.8538796,34.01868954
1651,-118.2444509,34.24126235
1683,-117.9780663,33.98111063
1749,-118.1305258,34.18689406
1778,-118.2351204,33.85158547
1799,-118.1597766,34.01634264
1811,-118.0750927,33.99753131
1832,-118.2917773,33.80796569
1833,-118.5626263,34.41260069
1835,-117.8391088,34.02623649
1845,-118.450891,34.41108913
1860,-118.3421849,33.99568275
1866,-118.0836034,34.08802338
1899,-118.2126385,33.90153176
1932,-118.025293,33.87332298
1971,-118.1422614,34.6685437
1983,-118.1453156,33.87886855
1993,-118.1533985,34.71149129
2000,-117.8478357,34.05250639
2023,-118.3698013,33.9341429
2024,-118.3821229,34.07861094
2034,-118.2101017,34.05782834
2070,-117.8959404,34.01275068
2078,-117.9682504,34.03009342
2079,-118.0016169,34.05270823
2111,-118.1333643,34.67763632
2145,-118.2569405,33.80819108
2156,-118.1823297,34.18519953
2177,-118.180645,34.68236758
2187,-118.1595417,33.83377773
2202,-117.863795,34.03194496
2208,-117.8580825,34.02236712
2244,-118.1045305,34.68930339
2245,-118.1576332,34.69665828
2297,-118.3341267,33.89240841
2355,-118.1259087,33.89731686
2413,-118.1894732,34.02191538
2438,-118.2838934,33.81170361
2458,-118.2704448,33.87189526
2464,-118.2205509,33.89364601
2468,-118.5290427,34.38051298
2562,-117.9675833,34.04870057
2569,-118.0897495,33.85485296
2570,-117.8612043,34.01058335
2574,-118.1210697,34.6555548
2614,-118.2750665,33.82588238
2619,-118.1176838,34.67528795
2641,-118.6302001,34.14813986
2654,-118.0863961,34.04530434
