CT10,TOTAL_POP,WHITE,BLACK,AMER_IND,ASIAN,PAC_ISLND,OTHER,TWO_MORE,MEANINCOME,LESS_HS,HS_GRAD,SOME_COLGE,BA_HIGHER,AlcoholRel,Arson,Assault,Burglaries,FederalOff,FelonMisc,Fraud,Gambling,GrandTheft,Homicide,MentallyIl,Narcotics,Robberies,SexOffense,Suicide,Vagrancy,Vandalism,VehicBoatL,WeaponLaws,AllCrimes
911001,4077,2798,89,0,0,1,964,225,82002,30,73,62,0,5,2,20,21,1,0,8,0,10,1,12,19,22,1,3,0,15,4,5,149
980003,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
930301,788,585,83,4,5,0,69,42,85892,47,59,36,0,1,0,5,2,0,0,0,0,0,0,0,0,10,1,2,0,0,31,0,52
573003,1931,827,226,124,355,0,203,196,63250,75,58,43,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297602,3929,2638,284,8,265,0,467,267,81381,46,75,195,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
297601,2559,1916,248,0,18,7,27,343,72408,0,35,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577504,1418,1180,55,6,52,42,6,77,168199,0,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576903,4012,2547,731,0,254,0,415,65,52466,19,77,276,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576302,5330,1865,632,126,1719,0,647,341,46865,126,67,217,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576301,4134,2050,725,19,549,27,495,269,50325,43,61,267,20,1,0,4,0,0,0,0,0,0,0,1,1,7,1,0,0,0,0,0,15
576001,5587,2783,998,0,1452,0,90,264,103739,84,173,42,68,1,0,2,0,0,2,0,0,0,0,0,2,10,0,0,0,1,0,0,18
293306,2414,1330,253,0,247,0,204,380,98509,45,77,76,19,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,8
295103,4890,3564,99,0,613,18,184,412,102161,16,54,283,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
980015,329,133,119,0,28,32,15,2,40441,1,33,28,0,0,0,4,3,2,2,0,0,1,0,1,0,5,2,0,0,1,5,3,29
670602,7049,4814,141,0,1338,56,175,525,158821,66,41,232,170,8,0,13,29,1,0,29,0,9,0,7,12,50,4,6,0,13,44,1,226
670416,4114,2079,221,0,1506,0,106,202,146311,9,52,196,0,3,0,5,11,0,1,16,0,2,0,7,2,20,0,0,0,1,17,0,85
670328,4964,3538,40,0,1066,0,26,294,249517,59,47,86,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
670326,3476,2120,45,22,976,9,97,207,242712,16,17,59,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670324,5142,4079,104,0,738,0,18,203,239342,13,47,198,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4
651402,6295,2955,59,0,2798,0,53,430,118518,0,65,277,74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
651401,2603,1839,8,13,631,14,36,62,96171,9,16,96,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
297202,4107,2625,91,0,418,0,282,691,90990,45,48,271,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
297201,4003,2241,502,6,320,3,683,248,69138,182,110,275,10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
296902,4246,2693,176,0,193,0,988,196,65338,69,61,169,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,5
296901,3987,1882,208,63,156,150,1090,438,51778,96,71,121,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
296402,3099,2165,198,20,221,0,338,157,94683,45,42,128,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
296401,3280,2400,110,0,215,0,128,427,95358,11,23,118,28,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,5
294701,3148,1948,111,267,52,58,649,63,42513,78,43,130,16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3
294421,3048,1253,236,0,477,0,912,170,62882,79,45,78,39,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,7
294302,4750,2605,58,219,59,158,1432,219,61665,167,112,171,21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
670001,3314,2134,86,0,597,3,267,227,78685,17,48,140,21,4,0,13,11,1,2,11,0,5,0,4,13,28,3,0,0,9,15,1,120
294301,2556,1542,48,242,190,0,464,70,89920,89,26,139,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293307,2668,823,303,0,398,0,866,278,53100,95,35,220,16,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,3,1,10
980007,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980006,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543703,3479,1301,73,20,970,100,603,412,93940,55,32,205,13,4,1,18,13,0,0,15,0,11,0,3,9,85,4,0,0,20,13,1,197
297300,2210,1671,98,15,56,0,65,305,91775,9,17,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297120,3560,2301,38,0,48,12,1001,160,59701,187,41,213,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
296500,4113,2070,433,42,42,0,911,615,47602,143,69,171,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
297110,4850,2328,825,17,329,3,1237,111,48868,114,111,200,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
297400,3703,3155,92,0,173,0,102,181,122419,0,41,97,42,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
297500,5193,3837,345,78,186,0,253,494,123796,59,15,246,56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
609900,1977,1391,124,7,77,0,278,100,68839,38,77,54,13,2,0,15,15,0,2,5,0,8,0,7,38,23,0,1,0,13,16,3,148
296220,4226,1219,622,0,271,84,1717,313,47600,180,134,175,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
670413,4886,2514,63,0,2098,0,23,188,148564,18,25,80,26,4,0,6,7,1,0,15,0,0,0,3,3,10,0,0,0,6,7,1,63
574500,6450,5156,122,0,702,0,225,245,117803,147,46,253,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
574901,3765,3098,8,10,400,0,90,159,105613,13,58,205,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577100,7143,5601,359,24,477,0,210,472,81602,106,88,344,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
575002,4964,3452,352,8,657,0,177,318,80634,21,47,269,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294820,3742,2178,34,298,22,0,1078,132,41369,122,50,257,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
293304,4214,1473,241,48,617,41,1369,425,63812,31,95,315,0,0,0,0,0,0,0,0,0,1,0,0,6,1,1,0,0,0,10,2,21
293302,5455,2574,457,22,1085,220,862,235,78968,68,83,176,93,0,0,0,1,0,0,3,0,0,0,0,5,1,0,0,0,0,7,0,17
670403,2685,1570,23,0,916,11,8,157,156083,14,22,108,29,6,0,7,24,1,0,15,0,1,0,0,3,45,0,1,0,9,13,0,125
574400,5015,4101,74,31,435,0,90,284,111597,26,34,109,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576802,3852,2506,548,58,256,15,368,101,67194,13,64,155,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
576801,4209,2485,520,36,461,0,450,257,65970,16,68,142,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576700,3921,3017,347,41,230,5,73,208,89492,4,27,187,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576601,4429,2942,633,18,86,77,405,268,68000,0,12,43,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576602,4416,3046,551,0,298,50,391,80,74176,0,101,211,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576501,2951,1654,393,60,90,25,590,139,51890,67,46,96,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
576503,4415,2639,689,93,270,103,420,201,55276,46,71,427,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576200,5726,3324,846,168,441,49,818,80,46348,13,105,448,106,0,0,3,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,8
576401,5203,2143,667,60,587,0,1336,410,37902,140,70,326,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576403,5245,2499,933,12,820,0,736,245,46543,203,93,215,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
294110,4447,2691,0,174,169,13,1207,193,67579,138,53,232,38,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1,21
294610,4311,2407,44,468,84,8,1120,180,51771,161,107,301,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
543604,5755,2253,141,13,2395,44,377,532,97833,124,76,297,53,6,1,21,17,1,4,16,0,23,0,1,60,169,4,0,0,29,55,12,419
576502,4957,2675,1174,243,350,0,259,256,47264,33,61,249,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294620,4658,2662,152,253,16,0,1492,83,55031,123,77,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294410,5008,1750,1040,77,675,284,623,559,57962,139,71,286,80,0,0,1,0,0,0,0,0,0,0,0,18,1,0,0,0,0,3,4,27
294200,5481,3480,11,112,251,0,1393,234,74428,138,78,308,6,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,4,0,8
572202,3552,816,616,0,950,324,667,179,94778,1,66,86,34,1,0,5,1,0,0,0,0,2,0,5,7,18,1,0,0,4,1,1,46
670701,7327,4472,233,18,1272,176,791,365,124616,164,60,165,123,5,0,17,16,1,2,30,0,9,0,5,27,79,7,0,0,15,42,5,260
670002,4009,2386,127,26,625,0,438,407,77611,56,67,194,12,8,0,24,8,1,3,11,0,11,0,4,70,55,2,0,0,12,58,8,275
294520,3796,2310,8,80,45,5,1262,86,60263,80,65,220,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4
296600,5015,3001,252,25,38,0,1363,336,40358,126,75,156,12,1,0,3,0,0,0,0,0,1,0,0,6,0,0,0,0,0,2,0,13
575103,4944,2897,1059,81,425,103,232,147,48895,109,53,418,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576402,4806,2266,351,315,614,0,939,321,42692,245,50,167,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575902,4697,2733,907,49,406,0,353,249,55422,23,66,180,84,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,5
575401,5284,3341,463,180,226,0,606,468,39049,257,89,180,151,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,4
575901,3464,1669,652,70,185,0,718,170,54561,85,95,175,43,0,0,16,0,0,0,0,0,0,0,1,4,2,0,2,0,6,0,0,31
575102,4304,2597,363,0,942,0,258,144,37500,132,53,324,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575803,3018,1634,323,31,253,0,666,111,32335,83,80,141,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297000,5215,3948,72,14,296,0,578,307,106655,0,23,112,36,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,6
575801,2174,1507,160,7,64,0,292,144,35037,101,32,128,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294830,3908,2317,82,252,82,0,1025,150,43784,172,42,95,22,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5
294510,5023,3146,21,345,39,17,1257,198,50856,117,98,313,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294900,3661,2208,46,202,45,0,964,196,47408,149,53,214,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
296210,2705,1361,331,0,37,0,783,193,42524,116,99,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
294810,4315,2793,71,77,0,0,1297,77,44356,181,71,178,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577501,3516,3087,18,0,296,0,6,109,162210,0,43,115,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
575201,4677,1770,903,183,994,42,480,305,45985,185,90,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575202,5076,2629,333,124,1199,0,431,360,42351,62,65,272,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
296300,4792,2701,148,18,949,11,587,378,96990,59,38,213,59,2,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,6,0,13
990300,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980033,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,4
980031,1124,580,270,18,44,16,130,66,0,10,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
