FID,X,Y
44,-118.1381252,34.68582491
51,-118.7409173,34.05865083
110,-117.9072953,34.13404197
121,-118.2256992,33.83210713
142,-118.0816152,34.14624187
168,-118.6878908,34.5697638
172,-118.79551,34.706107
209,-118.1053986,34.17301845
275,-118.1987831,34.47920038
276,-118.0614359,34.57562526
280,-118.158055,33.88689522
304,-118.7026909,34.14343656
333,-118.0829252,33.96517684
356,-118.2026717,34.06186879
369,-118.2825377,33.929172
383,-118.3644789,33.89471522
386,-117.8638794,34.0452237
387,-118.186882,34.04278478
396,-118.099175,33.92794998
411,-118.3550371,34.08940701
427,-118.2954469,33.93898391
432,-118.1116152,33.97587785
458,-117.869753,33.99442068
471,-118.1524154,33.97826559
476,-118.1735191,34.03694493
496,-118.0781521,33.83538702
533,-117.8478554,34.10327631
556,-118.0546691,34.56157763
559,-118.1314185,34.57953311
583,-118.2326521,33.95309724
590,-118.2564072,33.96938883
601,-118.3003232,33.92766982
604,-118.2928625,33.95787588
633,-118.6986341,34.14382897
655,-118.0290522,33.92813083
656,-118.0119782,33.92673385
657,-118.0213272,33.89770984
669,-118.2852838,33.90181338
713,-117.9170011,34.00781785
718,-117.9199821,34.01858086
752,-118.0274681,33.90254084
755,-118.0281282,33.9428819
756,-118.0919529,33.90067653
757,-118.0818472,33.91282884
762,-118.3095335,33.78947669
775,-118.3553332,34.08871884
776,-118.3440472,34.09070584
883,-118.0001232,34.05182786
884,-117.9879564,34.01800984
887,-118.2919652,33.93092683
900,-118.3190248,33.74319051
985,-118.1042522,33.92475484
999,-118.5909132,34.12326784
1016,-118.2216902,33.97409107
1035,-118.1029972,34.57962892
1055,-117.9879564,34.01800984
1074,-118.2919652,33.93092683
1080,-118.7143908,34.1374905
1111,-118.1505147,33.87621457
1126,-118.1838075,34.02913166
1128,-118.1611069,34.02099564
1129,-118.164875,34.02264907
1130,-118.1620716,34.02522498
1132,-118.1529797,34.02679096
1133,-118.1641321,34.02281177
1153,-118.3139107,33.78945834
1213,-118.1796012,33.88664724
1216,-118.116602,33.89664124
1229,-118.1932425,34.19033398
1245,-118.1720385,33.96450237
1319,-118.1248516,34.5798579
1341,-118.0964679,33.98326655
1372,-118.4476411,34.41683169
1375,-118.077493,33.92186495
1379,-118.0825198,33.89613194
1381,-118.1034082,33.91717383
1398,-117.977018,34.05545013
1401,-117.9481089,34.04882067
1410,-118.0795912,34.14625287
1433,-117.8568342,34.10120987
1454,-117.8103727,34.02201951
1456,-118.1021896,33.9698037
1522,-118.2341212,33.89819023
1523,-118.2163882,33.90963182
1525,-118.2176069,33.90615136
1546,-118.2080955,33.9044596
1600,-117.9744722,34.13956786
1601,-117.9775642,34.13955788
1602,-118.0772226,34.1034814
1603,-118.0728702,33.89044783
1609,-118.2759709,34.0207977
1616,-118.06957,34.14733096
1623,-118.1844082,34.67493788
1655,-117.8316365,34.09718308
1667,-118.1775472,33.90288382
1680,-118.1984569,33.90931002
1695,-118.0283572,34.03929186
1707,-118.6292945,34.14639233
1708,-118.0944392,34.56679691
1759,-117.9749649,34.04262808
1761,-117.951267,34.03740897
1764,-117.9438651,34.05057486
1814,-118.2644776,33.96733381
1862,-118.2252252,33.96834984
1871,-118.4483864,34.32438408
1926,-118.0256482,33.94496156
1927,-118.0428362,33.95340484
1928,-118.046482,33.93965415
1930,-117.9922243,33.92543738
1931,-118.0273038,33.90827393
1949,-118.1512752,33.87473585
1953,-118.7447297,34.14503424
1997,-118.299574,33.89110302
2003,-118.0907488,34.57277945
2058,-118.15227,33.8891034
2117,-118.1933175,33.98767344
2123,-118.2779718,33.81243286
2131,-117.9488762,34.03458987
2132,-117.9471455,34.0493366
2134,-117.951075,34.01747047
2135,-117.9868791,34.04315271
2146,-118.3659112,34.09077684
2161,-118.567661,34.04185305
2193,-118.2816955,33.83163366
2207,-118.1497743,34.70230714
2212,-118.3450775,33.77740616
2213,-118.3139407,33.78919402
2214,-118.3290735,33.77917937
2231,-118.1251772,33.87300385
2234,-118.1251772,33.87300385
2235,-118.0839592,34.00131385
2237,-118.1252564,33.88208932
2240,-118.1419813,33.88073145
2242,-118.1694913,33.78818524
2243,-118.0709309,34.00742826
2260,-118.6848265,34.03473433
2283,-117.8862388,34.00882164
2290,-117.8860258,33.98750203
2356,-118.2924096,33.83136293
2368,-117.9483572,34.03478451
2371,-117.9632793,34.04196503
2372,-117.9136327,34.01489059
2378,-117.9768128,34.05512188
2384,-117.7485931,34.09921788
2387,-117.9280101,34.03965545
2426,-118.331169,34.1002378
2448,-118.2872775,34.10605276
2450,-118.331169,34.1002378
2550,-118.0709309,34.00742826
2603,-118.1203121,34.57403244
2607,-118.0736352,34.54236191
2610,-118.1910865,33.89600904
2624,-118.1426712,33.88920384
2650,-118.0968067,34.0496009
2693,-118.1791407,34.19180468
2762,-118.0603172,33.98512686
